id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , Redshift , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
967 , 3HSPJ112048.1+421212 , 5BZBJ1120+4212 , 170.20025 , 42.20333 , 24.2 , 0.35 , 1.49 , -11.3 , 2 , 2FHL J1120.8+4212 , 1.62 , 2WHSPJ112047.9+421211
968 , 3HSPJ112059.1+014456 , 5BZBJ1120+0144 , 170.24879 , 1.74889 , 25 , 0.368 , 0.14 , -12.2 , 0.25 ,  ,  , 2WHSPJ112059.7+014456
969 , 3HSPJ112211.6+431647 , 5BZBJ1122+4316 , 170.54846 , 43.27972 , 3 , 0.435 ,  , -12.4 , 0.16 ,  ,  , 2WHSPJ112211.5+431646
970 , 3HSPJ112313.0-090425 ,  , 170.80504 , -9.07361 , 5.8 , 0.37 , 0.11 , -12.7 , 0.08 ,  ,  , 2WHSPJ112313.2-090424
971 , 3HSPJ112318.1-323218 ,  , 170.82521 , -32.53833 , 16.9 , 0.34 , 0.57 , -11.9? , 0.5 ,  , 1.88 , 2WHSPJ112317.9-323217
972 , 3HSPJ112349.2+722959 , 5BZBJ1123+7229 , 170.95487 , 72.49972 , 12.6 , 0.38 , 0.58 , -11.9 , 0.5 ,  , 1.59 , 2WHSPJ112349.0+722958
973 , 3HSPJ112405.3+204553 , 5BZBJ1124+2045 , 171.02229 , 20.76472 , 9 , 0.54 , 0.07 , -12.1 , 0.32 ,  , 1.91 , 
974 , 3HSPJ112410.6-371002 ,  , 171.044 , -37.16722 , 12.8 ,  ,  , -12.5 , 0.13 ,  ,  , 2WHSPJ112411.7-371009
975 , 3HSPJ112414.1+234032 ,  , 171.06129 , 23.67556 , 1.8 , 0.68 , 0.26 , -12.2 , 0.25 ,  , 2.46 , 2WHSPJ112414.7+234032
976 , 3HSPJ112453.8+493409 , 5BZBJ1124+4934 , 171.22429 , 49.56917 , 21.1 , 0.36 , 0.37 , -11.9 , 0.5 ,  , 1.8 , 2WHSPJ112453.8+493409
977 , 3HSPJ112502.8-265402 ,  , 171.26171 , -26.90056 , 4.5 , 0.44 ,  , -12.1 , 0.32 ,  ,  , 2WHSPJ112502.8-265402
