id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , Significance , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , Spectrum Type , PL Flux Density (cm-2 MeV-1 s-1) , PL Flux Density Error (cm-2 MeV-1 s-1) , Power Law Index , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Class , Low confidence Class
31 , 4FGL J0008.4+1455 , 00 08 29.9 , +14 55 23.51 ,  , 10.041938 , 3.274e-10 , 4.548e-11 , PowerLaw , 1.200e-13 , 1.630e-14 , 2.1995182 , 5.727e-9 , 7.283e-10 , 2.766e-10 , 7.350e-11 , 2.412e-11 , <4.694e-12 , 7.229e-13 , 1.350e-12 , 4.884e-13 , 6.519e-13 , 4.930e-13 , 5.684e-13 , 2.405e-17 , bcu , 
32 , 4FGL J0008.9+2509 , 00 08 56.59 , +25 09 12.96 ,  , 5.4900064 , 1.292e-10 , 3.385e-11 , PowerLaw , 4.271e-12 , 7.060e-13 , 2.8815272 , 4.082e-9 , 1.350e-9 , 1.338e-10 , 1.174e-12 , <8.735e-12 , <4.793e-12 , 2.489e-12 , 9.022e-13 , 8.396e-13 , 2.958e-13 , 7.301e-15 , 1.792e-15 , 4.843e-18 ,  , 
33 , 4FGL J0009.1-5012 , 00 09 11.08 , -50 12 38.52 ,  , 6.8421283 , 1.730e-10 , 3.217e-11 , PowerLaw , 2.112e-13 , 3.502e-14 , 2.4078472 , 3.020e-9 , 8.579e-10 , 1.381e-10 , 3.587e-11 , 6.949e-13 , <4.348e-12 , 6.552e-15 , 6.974e-13 , 5.618e-13 , 3.190e-13 , 2.349e-13 , 1.605e-14 , 7.886e-17 ,  , 
34 , 4FGL J0009.1+0628 , 00 09 11.35 , +06 28 58.08 ,  , 13.052364 , 4.597e-10 , 5.201e-11 , PowerLaw , 1.369e-13 , 1.526e-14 , 2.1171386 , 1.098e-9 , 1.527e-9 , 2.792e-10 , 1.140e-10 , 2.825e-11 , 9.659e-12 , 7.173e-17 , 2.608e-13 , 1.034e-12 , 6.632e-13 , 7.720e-13 , 6.710e-13 , 4.921e-13 , bll , 
35 , 4FGL J0009.2+6847 , 00 09 13.07 , +68 47 35.51 ,  , 8.957473 , 7.533e-10 , 1.007e-10 , LogParabola , 6.495e-13 , 8.469e-14 , 2.6165042 , 8.998e-9 , 4.003e-9 , 6.529e-10 , 4.884e-11 , 1.844e-12 , <4.010e-12 , 4.185e-12 , 2.380e-12 , 2.733e-12 , 1.420e-12 , 2.718e-13 , 3.495e-14 , 4.181e-17 ,  , 
36 , 4FGL J0009.2+1745 , 00 09 13.84 , +17 45 15.84 ,  , 4.4724517 , 1.417e-10 , 3.550e-11 , PowerLaw , 3.258e-13 , 7.055e-14 , 2.5332298 , 3.237e-9 , 7.344e-10 , 1.905e-10 , 1.819e-11 , <6.757e-12 , <4.861e-12 , 3.110e-12 , 7.387e-13 , 4.742e-13 , 4.347e-13 , 1.175e-13 , 1.945e-17 , 1.830e-16 ,  , agn
37 , 4FGL J0009.3+5030 , 00 09 23.18 , +50 30 41.39 ,  , 54.228363 , 2.810e-9 , 9.975e-11 , LogParabola , 1.529e-12 , 5.085e-14 , 1.987031 , 1.436e-8 , 5.480e-9 , 1.846e-9 , 6.889e-10 , 1.667e-10 , 4.907e-11 , 1.509e-12 , 3.591e-12 , 3.871e-12 , 4.470e-12 , 4.684e-12 , 3.911e-12 , 2.184e-12 , bll , 
38 , 4FGL J0009.7-1418 , 00 09 45.67 , -14 18 16.2 ,  , 8.528947 , 2.384e-10 , 3.851e-11 , PowerLaw , 4.367e-13 , 6.053e-14 , 2.3998108 , 3.218e-9 , 1.475e-9 , 1.605e-10 , 2.623e-11 , 1.200e-11 , <5.143e-12 , 1.000e-18 , 7.437e-13 , 9.666e-13 , 3.709e-13 , 1.719e-13 , 2.774e-13 , 5.312e-17 ,  , 
39 , 4FGL J0009.7-3217 , 00 09 46.63 , -32 17 51.36 ,  , 7.085836 , 1.834e-10 , 3.338e-11 , PowerLaw , 6.822e-14 , 1.215e-14 , 2.1981528 , <2.122e-9 , 5.436e-10 , 1.773e-10 , 1.976e-11 , 1.439e-11 , <4.861e-12 , 2.421e-13 , 1.181e-18 , 3.647e-13 , 4.179e-13 , 1.326e-13 , 3.391e-13 , 1.471e-17 , rdg , 
40 , 4FGL J0009.8-4317 , 00 09 48.79 , -43 17 52.43 ,  , 9.7891655 , 2.161e-10 , 3.284e-11 , PowerLaw , 5.875e-14 , 8.825e-15 , 2.145199 , 3.464e-9 , 4.952e-10 , 1.348e-10 , 3.952e-11 , 2.624e-11 , <5.570e-12 , 6.557e-16 , 8.206e-13 , 3.342e-13 , 3.194e-13 , 2.668e-13 , 6.216e-13 , 6.777e-17 , bll , 
41 , 4FGL J0010.6+2043 , 00 10 36.04 , +20 43 59.52 ,  , 4.55181 , 1.587e-10 , 3.749e-11 , PowerLaw , 1.141e-13 , 2.531e-14 , 2.316534 , 2.399e-9 , 7.207e-10 , 1.257e-10 , 3.956e-11 , <8.012e-12 , <4.906e-12 , 7.426e-17 , 5.588e-13 , 4.769e-13 , 2.930e-13 , 2.617e-13 , 6.447e-17 , 4.649e-19 , fsrq , 
42 , 4FGL J0010.6-3025 , 00 10 40.19 , -30 25 32.87 ,  , 13.226071 , 3.324e-10 , 4.006e-11 , PowerLaw , 8.219e-13 , 7.971e-14 , 2.4291213 , 4.760e-9 , 1.574e-9 , 3.502e-10 , 2.618e-11 , 5.712e-12 , <5.112e-12 , 3.946e-14 , 1.097e-12 , 1.028e-12 , 8.073e-13 , 1.711e-13 , 1.316e-13 , 7.153e-19 , fsrq , 
