id , Source name , Counterpart name , Class , RA (J2000.0) , Dec (J2000.0) , Significance , Flux 10-2000 GeV (ph/cm2/s) , Flux 10-2000 GeV Error , Spectral Index , Spectral Index Error , Log Nu peak (Hz) , Redshift , TeV Cat , Prev. Fermi Assoc.
1012 , 3FHL J1534.8+0131  , PKS 1532+01  , fsrq  , 233.7124786376953 , 1.5266088247299194 , 4.78 , 3.628e-11 , 1.300e-11 , 2.003 , 0.754 , 13.18 , 1.428 ,   , 3FGL J1534.5+0128 
1013 , 3FHL J1534.9+3716  , RGB J1534+372  , bll  , 233.7366180419922 , 37.275264739990234 , 6.67 , 3.647e-11 , 1.163e-11 , 2.322 , 0.738 , 15.31 , 0.000 ,   , 3FGL J1535.0+3721 
1014 , 3FHL J1534.9+5320  , 1ES 1533+535  , bll  , 233.73924255371094 , 53.33732604980469 , 4.65 , 2.023e-11 , 8.615e-12 , 1.225 , 0.687 , 17 , 0.89 ,   , 3FGL J1534.4+5323 
1015 , 3FHL J1536.3-4949  , PSR J1536-4948  , psr  , 234.08697509765625 , -49.82697296142578 , 22.04 , 2.949e-10 , 3.213e-11 , 3.015 , 0.332 , 0 , 0.000 ,   , 3FGL J1536.3-4949 
1016 , 3FHL J1537.8-7958  , PMN J1537-7958  , bcu  , 234.46926879882812 , -79.9718246459961 , 6.14 , 4.089e-11 , 1.235e-11 , 2.454 , 0.765 , 1 , 0.000 ,   , 3FGL J1537.8-8000 
1017 , 3FHL J1539.7-1127  , PMN J1539-1128  , bll  , 234.93333435058594 , -11.455625534057617 , 7.47 , 5.929e-11 , 1.584e-11 , 2.207 , 0.523 , 16.35 , 0.000 ,   , 3FGL J1539.8-1128 
1018 , 3FHL J1539.8+2744  , MG2 J153938+2744  , fsrq  , 234.9591522216797 , 27.741069793701172 , 5.94 , 3.155e-11 , 1.079e-11 , 1.554 , 0.605 , 13.75 , 2.196 ,   , 3FGL J1539.5+2746 
1019 , 3FHL J1540.1+8154  , 1ES 1544+820  , bll  , 235.03175354003906 , 81.91093444824219 , 16.31 , 1.059e-10 , 1.650e-11 , 1.82 , 0.339 , 17.08 , 0.000 ,   , 3FGL J1540.1+8155 
1020 , 3FHL J1540.7+1448  , 4C +14.60  , bll  , 235.19496154785156 , 14.815681457519531 , 4.31 , 2.456e-11 , 9.929e-12 , 1.898 , 0.53 , 13.32 , 0.605 ,   , 3FGL J1540.8+1449 
1021 , 3FHL J1541.7+1413  ,   ,   , 235.4333953857422 , 14.229974746704102 , 4.38 , 2.433e-11 , 1.003e-11 , 2.811 , 1.1 , 0 , 0.000 ,   , 3FGL J1541.6+1414 
