id , BZCAT5 Source name , Other name , BZCAT name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density 5.0GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
2747 , 5BZBJ1658+6150 , SDSSJ16581+6150  , BZBJ1658+6150  , 254.53475 , 61.83389 , 0.374 ,  , 18.1 , BL Lac , 38 ,  ,  ,  , 
2748 , 5BZQJ1658+0741 , PKS1655+077  , BZQJ1658+0741  , 254.53754 , 7.69097 , 0.621 ,  , 19.5 , QSO RLoud flat radio sp. , 1413 , 1641 , 772 , 0.56 , 
2749 , 5BZQJ1658+0515 , 1Jy1656+053  , BZQJ1658+0515  , 254.63938 , 5.25456 , 0.879 ,  , 15.9 , QSO RLoud flat radio sp. , 1534 , 1382 ,  , 1.52 , 
2750 , 5BZQJ1658-0739 , TEX1656-075-0739 , BZQJ1658-0739  , 254.68358 , -7.65492 , 3.742 ,  , 19.6 , QSO RLoud flat radio sp. , 829 , 1008 ,  , 0.21 , 
2751 , 5BZQJ1659+3735 , 1RXSJ165932.2+373546 , BZQJ1659+3735  , 254.88304 , 37.59139 , 0.771 ,  , 17.6 , QSO RLoud flat radio sp. , 19 , 25 ,  , 0.22 , 
2752 , 5BZQJ1659+0213 , PKSB1657+022  , BZQJ1659+0213  , 254.9375 , 2.21861 , 2.039 ,  , 18.4 , QSO RLoud flat radio sp. , 361 , 243 ,  , 0.25 , 
2753 , 5BZQJ1700+6830 , GB6J1700+6830  , BZQJ1700+6830  , 255.03871 , 68.50194 , 0.301 ,  , 18.4 , QSO RLoud flat radio sp. , 338 , 380 , 1162 , 0.15 , 3.8e-9
2754 , 5BZBJ1701+3954a , SDSSJ170108.9+3954 , BZBJ1701+3954  , 255.28704 , 39.91169 ,  ,  , 19.3 , BL Lac , 6 ,  ,  ,  , 
2755 , 5BZQJ1701+3533 , 1RXSJ170112.7+353406 , BZQJ1701+3533  , 255.30158 , 35.56486 , 0.501 ,  , 18.5 , QSO RLoud flat radio sp. , 71 , 50 ,  , 0.49 , 
2756 , 5BZBJ1701+3954b , B31659+399  , BZBJ1701+3954  , 255.35262 , 39.91031 , 0.507 ,  ?  , 16.2 , BL Lac , 190 , 150 , 323 ,  , 
2757 , 5BZBJ1702+2643 , FIRSTJ17021+2643 , BZBJ1702+2643  , 255.54017 , 26.72075 ,  ,  , 17.9 , BL Lac Candidate , 44 , 71 ,  ,  , 
2758 , 5BZQJ1702+3157 , B2 1700+32  , BZQJ1702+3157  , 255.63596 , 31.9645 , 1.95 ,  , 17.6 , QSO RLoud flat radio sp. , 35 , 37 ,  , 0.21 , 
2759 , 5BZBJ1702+3115 , ROXAJ170238.5+311543.5 , BZBJ1702+3115  , 255.66062 , 31.26208 ,  ,  , 18.9 , BL Lac , 6 ,  ,  , 0.43 , 
2760 , 5BZQJ1703-6212 , PMNJ1703-6212  , BZQJ1703-6212  , 255.90225 , -62.21111 , 1.747 ,  , 17.6 , QSO RLoud flat radio sp. , 731 , 616 , 964 ,  , 3.3e-9
2761 , 5BZQJ1704+0134 , CRATESJ170406+013328 , BZQJ1704+0134  , 256.03121 , 1.569 , 2.842 ,  , 19.4 , QSO RLoud flat radio sp. , 284 , 272 ,  ,  , 
2762 , 5BZBJ1704+7138 , RXJ17048+7138  , BZBJ1704+7138  , 256.19575 , 71.63822 ,  ,  , 18 , BL Lac , 35 , 43 ,  , 1.17 , 
2763 , 5BZBJ1705+6042 , MS1704.9+6046  , BZBJ1705+6042  , 256.39508 , 60.70439 , 0.28 ,  , 18.8 , BL Lac , 3 ,  ,  , 0.98 , 
