id , Source Name , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , 0.1-100 GeV Energy Flux (erg cm-2 s-1) , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s)
2313 , 4FGL J1216.1-0242 , 1.744e-10 , 4.017e-11 , 1.958e-12 , 4.407e-13 , PowerLaw , 1.421e-10 , 2.813e-11 , 1.904e-11 , 6.445e-12 , 3.421e-13 , 1.936e-13 , 4.585e-13 , 3.470e-13
2314 , 4FGL J1216.1+0930 , 3.071e-10 , 4.246e-11 , 3.416e-12 , 4.767e-13 , PowerLaw , 2.713e-10 , 6.539e-11 , 1.525e-11 , 1.024e-11 , 6.498e-13 , 4.473e-13 , 3.653e-13 , 5.397e-13
2315 , 4FGL J1216.2+0537 , 1.586e-10 , 3.762e-11 , 1.800e-12 , 4.333e-13 , PowerLaw , 1.570e-10 , 3.010e-11 , 9.452e-12 , <5.234e-12 , 3.707e-13 , 2.024e-13 , 2.232e-13 , 9.223e-18
2316 , 4FGL J1216.2-0600 , 4.551e-10 , 5.541e-11 , 6.956e-12 , 6.639e-13 , PowerLaw , 3.483e-10 , 8.238e-11 , 4.376e-12 , <6.762e-12 , 7.952e-13 , 5.321e-13 , 9.990e-14 , 1.514e-17
2317 , 4FGL J1216.4-1358 , 1.627e-10 , 4.297e-11 , 1.810e-12 , 4.703e-13 , PowerLaw , 1.712e-10 , 2.979e-11 , <7.095e-12 , 9.838e-12 , 4.101e-13 , 2.038e-13 , 7.175e-16 , 5.188e-13
2318 , 4FGL J1216.8-5955 , 1.117e-9 , 1.108e-10 , 1.036e-11 , 1.706e-12 , LogParabola , 8.682e-10 , 1.322e-10 , <1.031e-11 , <4.533e-12 , 1.949e-12 , 7.830e-13 , 5.448e-16 , 1.995e-17
2319 , 4FGL J1217.2-2500 , 1.875e-10 , 4.393e-11 , 2.443e-12 , 5.651e-13 , PowerLaw , 2.275e-10 , 5.063e-11 , <5.281e-12 , <4.683e-12 , 5.265e-13 , 3.324e-13 , 1.390e-19 , 8.524e-19
2320 , 4FGL J1217.9+3007 , 8.843e-9 , 1.773e-10 , 8.850e-11 , 2.250e-12 , LogParabola , 6.087e-9 , 2.116e-9 , 6.102e-10 , 2.242e-10 , 1.474e-11 , 1.450e-11 , 1.451e-11 , 1.087e-11
2321 , 4FGL J1218.0-0028 , 4.965e-10 , 5.399e-11 , 6.079e-12 , 6.441e-13 , PowerLaw , 4.022e-10 , 6.050e-11 , 3.042e-11 , 3.252e-12 , 9.375e-13 , 4.006e-13 , 7.089e-13 , 1.537e-13
2322 , 4FGL J1218.5-0119 , 1.481e-9 , 8.750e-11 , 1.197e-11 , 9.683e-13 , LogParabola , 1.030e-9 , 3.340e-10 , 6.631e-11 , 7.757e-12 , 2.468e-12 , 2.212e-12 , 1.505e-12 , 2.936e-13
